x-axis,WaveGen-ARB
second,Volt
566.00E-009,-0.1686E+00
567.00E-009,-0.1713E+00
568.00E-009,-0.1133E+00
569.00E-009,-0.1133E+00
570.00E-009,0.0061E+00
571.00E-009,0.1252E+00
572.00E-009,-0.0540E+00
573.00E-009,-0.0540E+00
574.00E-009,0.0088E+00
575.00E-009,0.0667E+00
576.00E-009,0.0667E+00
577.00E-009,0.1269E+00
578.00E-009,0.0697E+00
579.00E-009,0.0079E+00
580.00E-009,0.0072E+00
581.00E-009,0.0658E+00
582.00E-009,0.1264E+00
583.00E-009,0.0682E+00
584.00E-009,0.0059E+00
585.00E-009,0.0059E+00
586.00E-009,0.0059E+00
587.00E-009,-0.1131E+00
588.00E-009,-0.0560E+00
589.00E-009,0.0059E+00
590.00E-009,0.0659E+00
591.00E-009,0.0659E+00
592.00E-009,0.0605E+00
593.00E-009,0.0563E+00
594.00E-009,0.1187E+00
595.00E-009,0.0579E+00
596.00E-009,0.0579E+00
597.00E-009,0.1769E+00
598.00E-009,0.1174E+00
599.00E-009,0.1174E+00
600.00E-009,0.0582E+00
601.00E-009,0.0582E+00
602.00E-009,0.1221E+00
603.00E-009,0.1844E+00
604.00E-009,0.0001E+00
605.00E-009,-0.0618E+00
606.00E-009,-0.0618E+00
607.00E-009,-0.0618E+00
608.00E-009,-0.0022E+00
609.00E-009,-0.0022E+00
610.00E-009,-0.0645E+00
611.00E-009,-0.0645E+00
612.00E-009,-0.0618E+00
613.00E-009,-0.1245E+00
614.00E-009,-0.0016E+00
615.00E-009,0.0610E+00
616.00E-009,0.0610E+00
617.00E-009,0.0001E+00
618.00E-009,-0.1142E+00
619.00E-009,-0.1729E+00
620.00E-009,-0.2236E+00
621.00E-009,-0.2812E+00
622.00E-009,-0.2237E+00
623.00E-009,-0.4080E+00
624.00E-009,-0.4674E+00
625.00E-009,-0.4072E+00
626.00E-009,-0.4072E+00
627.00E-009,-0.4638E+00
628.00E-009,-0.4080E+00
629.00E-009,-0.4088E+00
630.00E-009,-0.2973E+00
631.00E-009,-0.2991E+00
632.00E-009,-0.3619E+00
633.00E-009,-0.1148E+00
634.00E-009,-0.1120E+00
635.00E-009,-0.1747E+00
636.00E-009,-0.1747E+00
637.00E-009,-0.1148E+00
638.00E-009,-0.0563E+00
639.00E-009,0.0033E+00
640.00E-009,0.0639E+00
641.00E-009,0.0645E+00
642.00E-009,0.0058E+00
643.00E-009,-0.1173E+00
644.00E-009,0.0005E+00
645.00E-009,0.0006E+00
646.00E-009,-0.0604E+00
647.00E-009,-0.0029E+00
648.00E-009,-0.0634E+00
649.00E-009,-0.0634E+00
650.00E-009,-0.0634E+00
651.00E-009,-0.0667E+00
652.00E-009,0.0548E+00
653.00E-009,0.0560E+00
654.00E-009,-0.0040E+00
655.00E-009,-0.0040E+00
656.00E-009,-0.0642E+00
657.00E-009,-0.0642E+00
658.00E-009,-0.0038E+00
659.00E-009,-0.0660E+00
660.00E-009,-0.0660E+00
661.00E-009,-0.0040E+00
662.00E-009,-0.0040E+00
663.00E-009,0.1179E+00
664.00E-009,0.0563E+00
665.00E-009,0.1190E+00
666.00E-009,0.1804E+00
667.00E-009,0.0560E+00
668.00E-009,0.0560E+00
669.00E-009,0.0579E+00
670.00E-009,0.0579E+00
671.00E-009,0.0001E+00
672.00E-009,0.0001E+00
673.00E-009,-0.0601E+00
674.00E-009,-0.1219E+00
675.00E-009,-0.2442E+00
676.00E-009,-0.1844E+00
677.00E-009,-0.0599E+00
678.00E-009,-0.0599E+00
679.00E-009,0.0004E+00
680.00E-009,-0.0570E+00
681.00E-009,0.0007E+00
682.00E-009,-0.1167E+00
683.00E-009,-0.1151E+00
684.00E-009,0.0683E+00
685.00E-009,0.1906E+00
686.00E-009,0.1906E+00
687.00E-009,0.1279E+00
688.00E-009,0.1279E+00
689.00E-009,0.1279E+00
690.00E-009,0.1853E+00
691.00E-009,0.1234E+00
692.00E-009,0.2408E+00
693.00E-009,0.2995E+00
694.00E-009,0.2995E+00
695.00E-009,0.1812E+00
696.00E-009,0.1812E+00
697.00E-009,0.2439E+00
698.00E-009,0.2439E+00
699.00E-009,0.2439E+00
700.00E-009,0.2439E+00
701.00E-009,0.3058E+00
702.00E-009,0.3058E+00
703.00E-009,0.3058E+00
704.00E-009,0.3058E+00
705.00E-009,0.4241E+00
706.00E-009,0.3661E+00
707.00E-009,0.3661E+00
708.00E-009,0.1836E+00
709.00E-009,0.1836E+00
710.00E-009,0.1836E+00
